ccaa,code,mentions,top_sources,top_titles,last_update,cycle
Comunidad Valenciana,ES-VC,34,"{'eldiario': 5, 'okdiario': 5, 'levante_emv': 4}","Centro de Arte Hortensia Herrero. La joya escondida de Valencia | Trencà de Perols, la tradición de la Semana Santa valenciana que rompe el silencio con pólvora y cerámica | El taxi hará huelga a la japonesa en Valencia durante Fallas y Magdalena: gratis de 13 a 15 horas el 14 y 18 de marzo",2026-03-07 15:32,2026-03-07 15:32
Baleares,ES-IB,29,"{'okdiario': 12, 'google_news_es': 4, 'eldiario': 3}",Investigadores de Baleares evidencian que el consumo de aceite de oliva virgen extra reduce el riesgo cardiovascular - Europa Press | Detenido en Ibiza un hombre por intentar secuestrar a una menor a la salida de un colegio | Cuatro agresiones diarias en Baleares a los profesionales sanitarios en hospitales y centros de salud,2026-03-07 15:32,2026-03-07 15:32
Cantabria,ES-CB,23,"{'elmundo_espana': 4, 'elcorreo': 3, '20minutos': 2}","La pizzería que Marta Pombo aconseja para desayunar, comer y cenar en Cantabria: ""Merece la recomendación"" | Santander descarta el cese del jefe de la Policía local o de otro cargo tras la tragedia de la pasarela | La jueza tendrá que decidir si hay algún responsable penal por el siniestro de Santander",2026-03-07 15:32,2026-03-07 15:32
Extremadura,ES-EX,22,"{'levante_emv': 2, 'elespanol': 2, 'elpais': 2}",Habrá primarias en el PSOE de Extremadura: Soraya Vega y González Andrade se postulan para la secretaría general | El 'no' de Vox a María Guardiola en Extremadura anticipa unas negociaciones duras en Castilla y León | El reloj electoral marca el paso en Extremadura tras el intento fallido de investidura de María Guardiola,2026-03-07 15:32,2026-03-07 15:32
Galicia,ES-GA,21,"{'google_news_es': 3, 'levante_emv': 3, 'elconfidencial': 2}",Listado de participantes en la Grada Solidaria del Dépor - Granada CF - Deportivo de La Coruña | El estreno del AVE entre Vigo y Oporto avanza... hacia el límite de 2040 fijado por Bruselas | La Xunta regó de dinero europeo al Arzobispado de Santiago para renovar una hospedería que operaba sin licencia,2026-03-07 15:32,2026-03-07 15:32
País Vasco,ES-PV,21,"{'elcorreo': 12, 'google_news_es': 3, 'bbc_mundo': 1}","Aburto, a la comunidad gallega: «Gracias por enriquecer Bilbao» | Vitoria vive de primera mano cómo sería ir al monte con diversidad funcional | 6 espectaculares museos que se inauguran este año y que buscan replicar el ""efecto Bilbao""",2026-03-07 15:32,2026-03-07 15:32
Murcia,ES-MC,14,"{'okdiario': 5, 'google_news_es': 2, 'elespanol': 2}",Condenado a dos años tras reconocer que agredió sexualmente a una niña en Murcia | El pueblo de Mallorca con apenas 200 habitantes y que cuenta con la montaña más alta de Balears | Antelo admite a OKDIARIO que eligió la empresa de su amigo para alquilar una furgoneta: «Era la única en Murcia»,2026-03-07 15:32,2026-03-07 15:32
Castilla-La Mancha,ES-CM,11,"{'google_news_es': 5, 'heraldo_aragon': 4, 'elconfidencial': 2}","Illescas anima a todos los toledanos a participar en las actividades programadas por el 8M - Ayuntamiento de Toledo | ‘Legado Artesano’ estrena participación en Forma Design Fair Madrid y extiende a ARCO su presencia en los grandes escaparates del diseño - Gobierno de Castilla-La Mancha | La Feria de Artes Escénicas y Musicales celebra su 30 aniversario llevando ‘Tengo gente en el cuerpo’, de Ultramarinos de Lucas, a distintos municipios - Gobierno de Castilla-La Mancha",2026-03-07 15:32,2026-03-07 15:32
Canarias,ES-CN,8,"{'google_news_es': 4, 'elmundo_espana': 2, 'elconfidencial': 1}","Dos heridos, uno de ellos grave, tras una caída en parapente en una playa de Adeje (Tenerife) | Nueva brega liguera en el Heliodoro Rodríguez López - CD Tenerife | Con dos centros cerrados y 15 detenidos por presuntos malos tratos, una ONG sigue atendiendo a mil menores migrantes en Canarias",2026-03-07 15:32,2026-03-07 15:32
Asturias,ES-AS,5,"{'google_news_es': 1, 'levante_emv': 1, '20minutos': 1}",El Qatar Airways Premier Padel Tour afronta hoy en Gijón la jornada de semifinales - Ayuntamiento de Gijón | La Guardia Civil busca a una mujer de 56 años que se cayó a un río en Asturias | Vuelos directos desde Asturias: los 22 lugares a los que viajar sin escalas,2026-03-07 15:32,2026-03-07 15:32
Navarra,ES-NC,4,"{'okdiario': 1, 'google_news_politica': 1, 'elmundo_espana': 1}","Es uno de los museos más insólitos de España y está enclavado en el mejor paraje natural de toda Navarra | El Parlamento de Navarra pide al Gobierno de España oficializar el título de agente de igualdad - Navarra.com | Los vecinos de Cintruénigo (Navarra) se manifestarán contra el acoso escolar tras la muerte de una menor: ""No hay recursos suficientes""",2026-03-07 15:32,2026-03-07 15:32
Ceuta,ES-CE,4,"{'okdiario': 1, 'elespanol': 1, 'google_news_es': 1}",La Guardia Civil de Ceuta lucha contra el narcotráfico con coches de más de 20 años que se caen a pedazos | Extranjería cifra en 800 los migrantes llegados a Ceuta tras la regularización de Sánchez: 1.200% más que en 2025 | La Facultad de Ciencias de la Salud de Ceuta reconoce la excelencia académica en la celebración del patrón de Enfermería - Universidad de Granada,2026-03-07 15:32,2026-03-07 15:32
La Rioja,ES-RI,2,"{'okdiario': 1, 'eldiario': 1}",Preocupación total entre los expertos: sobre lo que pasa en un embalse en La Rioja con las especies protegidas en riesgo | Una escuela de ilustración en un pueblo de La Rioja de 60 habitantes que recoge el legado del Scriptorium de San Millán de la Cogolla,2026-03-07 15:32,2026-03-07 15:32
Melilla,ES-ML,0,{},,2026-03-07 15:32,2026-03-07 15:32
