source,news_count,intensity_index,last_update,cycle
infolibre,255,11.7,2026-03-12 18:33,2026-03-12 18:33
europapress,249,11.4,2026-03-12 18:33,2026-03-12 18:33
elconfidencial,145,6.6,2026-03-12 18:33,2026-03-12 18:33
elmundo_espana,129,5.9,2026-03-12 18:33,2026-03-12 18:33
bbc_mundo,126,5.8,2026-03-12 18:33,2026-03-12 18:33
maldita,112,5.1,2026-03-12 18:33,2026-03-12 18:33
elmundo_internacional,96,4.4,2026-03-12 18:33,2026-03-12 18:33
elpais_internacional,77,3.5,2026-03-12 18:33,2026-03-12 18:33
newtral,66,3.0,2026-03-12 18:33,2026-03-12 18:33
20minutos,2188,100.0,2026-03-12 19:03,2026-03-12 19:03
heraldo_aragon,1917,87.6,2026-03-12 19:03,2026-03-12 19:03
levante_emv,1858,84.9,2026-03-12 19:03,2026-03-12 19:03
google_news_es,1853,84.7,2026-03-12 19:03,2026-03-12 19:03
okdiario,1843,84.2,2026-03-12 19:03,2026-03-12 19:03
lavanguardia,1654,75.6,2026-03-12 19:03,2026-03-12 19:03
elcorreo,1495,68.3,2026-03-12 19:03,2026-03-12 19:03
elpais,1228,56.1,2026-03-12 19:03,2026-03-12 19:03
eldiario,780,35.6,2026-03-12 19:03,2026-03-12 19:03
huffington_es,593,27.1,2026-03-12 19:03,2026-03-12 19:03
expansion,482,22.0,2026-03-12 19:03,2026-03-12 19:03
elespanol,451,20.6,2026-03-12 19:03,2026-03-12 19:03
elmundo,440,20.1,2026-03-12 19:03,2026-03-12 19:03
google_news_politica,387,17.7,2026-03-12 19:03,2026-03-12 19:03
france24_es,368,16.8,2026-03-12 19:03,2026-03-12 19:03
infolibre,255,11.7,2026-03-12 19:03,2026-03-12 19:03
europapress,252,11.5,2026-03-12 19:03,2026-03-12 19:03
elconfidencial,146,6.7,2026-03-12 19:03,2026-03-12 19:03
elmundo_espana,129,5.9,2026-03-12 19:03,2026-03-12 19:03
bbc_mundo,126,5.8,2026-03-12 19:03,2026-03-12 19:03
maldita,112,5.1,2026-03-12 19:03,2026-03-12 19:03
elmundo_internacional,96,4.4,2026-03-12 19:03,2026-03-12 19:03
elpais_internacional,77,3.5,2026-03-12 19:03,2026-03-12 19:03
newtral,66,3.0,2026-03-12 19:03,2026-03-12 19:03
20minutos,2195,100.0,2026-03-12 19:33,2026-03-12 19:33
heraldo_aragon,1925,87.7,2026-03-12 19:33,2026-03-12 19:33
levante_emv,1874,85.4,2026-03-12 19:33,2026-03-12 19:33
google_news_es,1858,84.6,2026-03-12 19:33,2026-03-12 19:33
