source,news_count,internal_diversity,originality,original_news,repeated_news,diversity_score,last_update,cycle
eldiario,246,0.993,0.496,122,124,69.5,2026-03-09 06:32,2026-03-09 06:32
20minutos,526,0.994,0.47,247,279,68.0,2026-03-09 06:32,2026-03-09 06:32
elcorreo,440,0.996,0.468,206,234,67.9,2026-03-09 06:32,2026-03-09 06:32
expansion,115,0.993,0.461,53,62,67.4,2026-03-09 06:32,2026-03-09 06:32
france24_es,151,0.977,0.47,71,80,67.3,2026-03-09 06:32,2026-03-09 06:32
elespanol,137,0.99,0.423,58,79,65.0,2026-03-09 06:32,2026-03-09 06:32
lavanguardia,562,0.994,0.402,226,336,63.9,2026-03-09 06:32,2026-03-09 06:32
elpais,393,0.994,0.397,156,237,63.6,2026-03-09 06:32,2026-03-09 06:32
elmundo_internacional,23,0.98,0.391,9,14,62.7,2026-03-09 06:32,2026-03-09 06:32
elmundo,146,0.994,0.37,54,92,62.0,2026-03-09 06:32,2026-03-09 06:32
europapress,56,0.974,0.375,21,35,61.5,2026-03-09 06:32,2026-03-09 06:32
infolibre,81,0.994,0.358,29,52,61.2,2026-03-09 06:32,2026-03-09 06:32
elmundo_espana,37,0.988,0.351,13,24,60.6,2026-03-09 06:32,2026-03-09 06:32
google_news_politica,63,0.959,0.349,22,41,59.3,2026-03-09 06:32,2026-03-09 06:32
elconfidencial,47,0.979,0.319,15,32,58.3,2026-03-09 06:32,2026-03-09 06:32
bbc_mundo,32,0.974,0.312,10,22,57.7,2026-03-09 06:32,2026-03-09 06:32
elpais_internacional,26,0.971,0.231,6,20,52.7,2026-03-09 06:32,2026-03-09 06:32
maldita,15,0.94,0.8,12,3,85.6,2026-03-09 07:02,2026-03-09 07:02
newtral,18,0.989,0.611,11,7,76.2,2026-03-09 07:02,2026-03-09 07:02
huffington_es,192,0.967,0.583,112,80,73.7,2026-03-09 07:02,2026-03-09 07:02
heraldo_aragon,716,0.985,0.566,405,311,73.4,2026-03-09 07:02,2026-03-09 07:02
okdiario,547,0.988,0.543,297,250,72.1,2026-03-09 07:02,2026-03-09 07:02
elmundo_internacional,21,0.98,0.524,11,10,70.6,2026-03-09 07:02,2026-03-09 07:02
france24_es,156,0.978,0.506,79,77,69.5,2026-03-09 07:02,2026-03-09 07:02
eldiario,246,0.993,0.492,121,125,69.2,2026-03-09 07:02,2026-03-09 07:02
google_news_es,631,0.992,0.491,310,321,69.1,2026-03-09 07:02,2026-03-09 07:02
levante_emv,464,0.993,0.489,227,237,69.1,2026-03-09 07:02,2026-03-09 07:02
20minutos,536,0.994,0.487,261,275,69.0,2026-03-09 07:02,2026-03-09 07:02
elcorreo,441,0.996,0.458,202,239,67.3,2026-03-09 07:02,2026-03-09 07:02
expansion,115,0.993,0.443,51,64,66.3,2026-03-09 07:02,2026-03-09 07:02
elespanol,137,0.99,0.431,59,78,65.5,2026-03-09 07:02,2026-03-09 07:02
lavanguardia,583,0.994,0.415,242,341,64.7,2026-03-09 07:02,2026-03-09 07:02
elpais,394,0.994,0.411,162,232,64.4,2026-03-09 07:02,2026-03-09 07:02
elmundo_espana,36,0.989,0.389,14,22,62.9,2026-03-09 07:02,2026-03-09 07:02
infolibre,81,0.994,0.383,31,50,62.7,2026-03-09 07:02,2026-03-09 07:02
elmundo,146,0.994,0.377,55,91,62.4,2026-03-09 07:02,2026-03-09 07:02
europapress,56,0.975,0.375,21,35,61.5,2026-03-09 07:02,2026-03-09 07:02
bbc_mundo,32,0.973,0.375,12,20,61.4,2026-03-09 07:02,2026-03-09 07:02
google_news_politica,64,0.957,0.328,21,43,58.0,2026-03-09 07:02,2026-03-09 07:02
elconfidencial,46,0.978,0.261,12,34,54.8,2026-03-09 07:02,2026-03-09 07:02
elpais_internacional,26,0.971,0.192,5,21,50.4,2026-03-09 07:02,2026-03-09 07:02
maldita,13,0.932,0.769,10,3,83.4,2026-03-09 07:32,2026-03-09 07:32
newtral,18,0.99,0.611,11,7,76.3,2026-03-09 07:32,2026-03-09 07:32
huffington_es,193,0.967,0.611,118,75,75.3,2026-03-09 07:32,2026-03-09 07:32
elmundo_internacional,21,0.98,0.571,12,9,73.5,2026-03-09 07:32,2026-03-09 07:32
heraldo_aragon,716,0.985,0.566,405,311,73.4,2026-03-09 07:32,2026-03-09 07:32
okdiario,560,0.989,0.534,299,261,71.6,2026-03-09 07:32,2026-03-09 07:32
20minutos,551,0.994,0.51,281,270,70.4,2026-03-09 07:32,2026-03-09 07:32
france24_es,156,0.978,0.519,81,75,70.3,2026-03-09 07:32,2026-03-09 07:32
levante_emv,468,0.994,0.494,231,237,69.4,2026-03-09 07:32,2026-03-09 07:32
google_news_es,634,0.992,0.495,314,320,69.4,2026-03-09 07:32,2026-03-09 07:32
eldiario,250,0.993,0.484,121,129,68.8,2026-03-09 07:32,2026-03-09 07:32
elcorreo,447,0.995,0.472,211,236,68.1,2026-03-09 07:32,2026-03-09 07:32
expansion,114,0.993,0.465,53,61,67.6,2026-03-09 07:32,2026-03-09 07:32
elespanol,141,0.99,0.447,63,78,66.4,2026-03-09 07:32,2026-03-09 07:32
elpais,394,0.994,0.409,161,233,64.3,2026-03-09 07:32,2026-03-09 07:32
lavanguardia,582,0.994,0.405,236,346,64.1,2026-03-09 07:32,2026-03-09 07:32
elmundo_espana,37,0.989,0.405,15,22,63.9,2026-03-09 07:32,2026-03-09 07:32
bbc_mundo,32,0.973,0.406,13,19,63.3,2026-03-09 07:32,2026-03-09 07:32
elmundo,146,0.994,0.363,53,93,61.5,2026-03-09 07:32,2026-03-09 07:32
google_news_politica,61,0.957,0.377,23,38,60.9,2026-03-09 07:32,2026-03-09 07:32
europapress,56,0.975,0.357,20,36,60.4,2026-03-09 07:32,2026-03-09 07:32
infolibre,81,0.994,0.321,26,55,59.0,2026-03-09 07:32,2026-03-09 07:32
elconfidencial,46,0.978,0.283,13,33,56.1,2026-03-09 07:32,2026-03-09 07:32
elpais_internacional,26,0.971,0.154,4,22,48.1,2026-03-09 07:32,2026-03-09 07:32
maldita,13,0.932,0.923,12,1,92.7,2026-03-09 08:02,2026-03-09 08:02
huffington_es,195,0.968,0.585,114,81,73.8,2026-03-09 08:02,2026-03-09 08:02
heraldo_aragon,716,0.984,0.559,400,316,72.9,2026-03-09 08:02,2026-03-09 08:02
newtral,18,0.989,0.556,10,8,72.9,2026-03-09 08:02,2026-03-09 08:02
okdiario,575,0.988,0.536,308,267,71.7,2026-03-09 08:02,2026-03-09 08:02
elmundo_internacional,21,0.98,0.524,11,10,70.6,2026-03-09 08:02,2026-03-09 08:02
google_news_es,642,0.992,0.486,312,330,68.8,2026-03-09 08:02,2026-03-09 08:02
20minutos,562,0.994,0.48,270,292,68.6,2026-03-09 08:02,2026-03-09 08:02
france24_es,156,0.978,0.481,75,81,68.0,2026-03-09 08:02,2026-03-09 08:02
eldiario,252,0.993,0.472,119,133,68.0,2026-03-09 08:02,2026-03-09 08:02
levante_emv,472,0.993,0.466,220,252,67.7,2026-03-09 08:02,2026-03-09 08:02
elcorreo,452,0.995,0.454,205,247,67.0,2026-03-09 08:02,2026-03-09 08:02
elespanol,141,0.99,0.426,60,81,65.2,2026-03-09 08:02,2026-03-09 08:02
expansion,120,0.993,0.425,51,69,65.2,2026-03-09 08:02,2026-03-09 08:02
elpais,394,0.994,0.411,162,232,64.4,2026-03-09 08:02,2026-03-09 08:02
elmundo,166,0.994,0.41,68,98,64.4,2026-03-09 08:02,2026-03-09 08:02
lavanguardia,618,0.994,0.398,246,372,63.6,2026-03-09 08:02,2026-03-09 08:02
europapress,57,0.975,0.404,23,34,63.2,2026-03-09 08:02,2026-03-09 08:02
infolibre,80,0.994,0.388,31,49,63.0,2026-03-09 08:02,2026-03-09 08:02
elmundo_espana,36,0.989,0.361,13,23,61.2,2026-03-09 08:02,2026-03-09 08:02
google_news_politica,62,0.957,0.355,22,40,59.6,2026-03-09 08:02,2026-03-09 08:02
elconfidencial,47,0.978,0.298,14,33,57.0,2026-03-09 08:02,2026-03-09 08:02
elpais_internacional,26,0.968,0.269,7,19,54.9,2026-03-09 08:02,2026-03-09 08:02
bbc_mundo,32,0.973,0.25,8,24,53.9,2026-03-09 08:02,2026-03-09 08:02
maldita,13,0.932,0.923,12,1,92.7,2026-03-09 08:32,2026-03-09 08:32
newtral,18,0.99,0.611,11,7,76.3,2026-03-09 08:32,2026-03-09 08:32
huffington_es,196,0.968,0.582,114,82,73.6,2026-03-09 08:32,2026-03-09 08:32
heraldo_aragon,710,0.984,0.558,396,314,72.8,2026-03-09 08:32,2026-03-09 08:32
okdiario,589,0.989,0.53,312,277,71.4,2026-03-09 08:32,2026-03-09 08:32
levante_emv,478,0.994,0.49,234,244,69.2,2026-03-09 08:32,2026-03-09 08:32
google_news_es,644,0.992,0.486,313,331,68.8,2026-03-09 08:32,2026-03-09 08:32
france24_es,157,0.978,0.484,76,81,68.2,2026-03-09 08:32,2026-03-09 08:32
elcorreo,455,0.995,0.47,214,241,68.0,2026-03-09 08:32,2026-03-09 08:32
eldiario,251,0.993,0.466,117,134,67.7,2026-03-09 08:32,2026-03-09 08:32
20minutos,564,0.994,0.447,252,312,66.6,2026-03-09 08:32,2026-03-09 08:32
elespanol,142,0.99,0.423,60,82,65.0,2026-03-09 08:32,2026-03-09 08:32
expansion,121,0.993,0.421,51,70,65.0,2026-03-09 08:32,2026-03-09 08:32
elmundo,167,0.994,0.413,69,98,64.5,2026-03-09 08:32,2026-03-09 08:32
elpais,399,0.994,0.401,160,239,63.8,2026-03-09 08:32,2026-03-09 08:32
lavanguardia,619,0.994,0.396,245,374,63.5,2026-03-09 08:32,2026-03-09 08:32
google_news_politica,62,0.956,0.419,26,36,63.4,2026-03-09 08:32,2026-03-09 08:32
elmundo_espana,36,0.989,0.389,14,22,62.9,2026-03-09 08:32,2026-03-09 08:32
elmundo_internacional,21,0.98,0.381,8,13,62.1,2026-03-09 08:32,2026-03-09 08:32
bbc_mundo,32,0.973,0.375,12,20,61.4,2026-03-09 08:32,2026-03-09 08:32
infolibre,81,0.994,0.358,29,52,61.2,2026-03-09 08:32,2026-03-09 08:32
europapress,60,0.977,0.317,19,41,58.1,2026-03-09 08:32,2026-03-09 08:32
elconfidencial,47,0.979,0.298,14,33,57.0,2026-03-09 08:32,2026-03-09 08:32
elpais_internacional,27,0.972,0.259,7,20,54.4,2026-03-09 08:32,2026-03-09 08:32
maldita,17,0.925,0.941,16,1,93.5,2026-03-09 09:02,2026-03-09 09:02
newtral,18,0.99,0.667,12,6,79.6,2026-03-09 09:02,2026-03-09 09:02
huffington_es,198,0.968,0.596,118,80,74.5,2026-03-09 09:02,2026-03-09 09:02
heraldo_aragon,700,0.984,0.567,397,303,73.4,2026-03-09 09:02,2026-03-09 09:02
okdiario,596,0.988,0.527,314,282,71.1,2026-03-09 09:02,2026-03-09 09:02
elmundo_internacional,20,0.979,0.5,10,10,69.2,2026-03-09 09:02,2026-03-09 09:02
google_news_es,652,0.992,0.491,320,332,69.1,2026-03-09 09:02,2026-03-09 09:02
levante_emv,487,0.994,0.485,236,251,68.9,2026-03-09 09:02,2026-03-09 09:02
20minutos,567,0.994,0.478,271,296,68.4,2026-03-09 09:02,2026-03-09 09:02
eldiario,250,0.993,0.468,117,133,67.8,2026-03-09 09:02,2026-03-09 09:02
expansion,121,0.993,0.463,56,65,67.5,2026-03-09 09:02,2026-03-09 09:02
france24_es,158,0.977,0.468,74,84,67.2,2026-03-09 09:02,2026-03-09 09:02
elespanol,143,0.99,0.448,64,79,66.5,2026-03-09 09:02,2026-03-09 09:02
elcorreo,458,0.995,0.428,196,262,65.5,2026-03-09 09:02,2026-03-09 09:02
elpais,399,0.994,0.419,167,232,64.9,2026-03-09 09:02,2026-03-09 09:02
elmundo,166,0.994,0.41,68,98,64.4,2026-03-09 09:02,2026-03-09 09:02
lavanguardia,620,0.994,0.405,251,369,64.1,2026-03-09 09:02,2026-03-09 09:02
elmundo_espana,35,0.989,0.4,14,21,63.6,2026-03-09 09:02,2026-03-09 09:02
infolibre,80,0.994,0.388,31,49,63.0,2026-03-09 09:02,2026-03-09 09:02
google_news_politica,60,0.957,0.383,23,37,61.3,2026-03-09 09:02,2026-03-09 09:02
europapress,61,0.977,0.344,21,40,59.7,2026-03-09 09:02,2026-03-09 09:02
elconfidencial,48,0.979,0.312,15,33,57.9,2026-03-09 09:02,2026-03-09 09:02
elpais_internacional,27,0.97,0.296,8,19,56.6,2026-03-09 09:02,2026-03-09 09:02
bbc_mundo,32,0.974,0.281,9,23,55.8,2026-03-09 09:02,2026-03-09 09:02
maldita,18,0.928,0.778,14,4,83.8,2026-03-09 09:32,2026-03-09 09:32
newtral,18,0.99,0.611,11,7,76.3,2026-03-09 09:32,2026-03-09 09:32
huffington_es,203,0.969,0.571,116,87,73.0,2026-03-09 09:32,2026-03-09 09:32
heraldo_aragon,698,0.983,0.54,377,321,71.7,2026-03-09 09:32,2026-03-09 09:32
okdiario,608,0.989,0.53,322,286,71.4,2026-03-09 09:32,2026-03-09 09:32
levante_emv,490,0.993,0.504,247,243,70.0,2026-03-09 09:32,2026-03-09 09:32
google_news_es,659,0.992,0.498,328,331,69.6,2026-03-09 09:32,2026-03-09 09:32
20minutos,579,0.994,0.478,277,302,68.4,2026-03-09 09:32,2026-03-09 09:32
eldiario,248,0.993,0.476,118,130,68.3,2026-03-09 09:32,2026-03-09 09:32
elcorreo,465,0.996,0.462,215,250,67.6,2026-03-09 09:32,2026-03-09 09:32
france24_es,158,0.977,0.468,74,84,67.2,2026-03-09 09:32,2026-03-09 09:32
elespanol,145,0.99,0.428,62,83,65.3,2026-03-09 09:32,2026-03-09 09:32
expansion,119,0.993,0.42,50,69,64.9,2026-03-09 09:32,2026-03-09 09:32
elmundo_internacional,19,0.977,0.421,8,11,64.3,2026-03-09 09:32,2026-03-09 09:32
elpais,401,0.994,0.409,164,237,64.3,2026-03-09 09:32,2026-03-09 09:32
lavanguardia,619,0.994,0.405,251,368,64.1,2026-03-09 09:32,2026-03-09 09:32
elmundo_espana,35,0.989,0.4,14,21,63.6,2026-03-09 09:32,2026-03-09 09:32
infolibre,79,0.994,0.392,31,48,63.3,2026-03-09 09:32,2026-03-09 09:32
bbc_mundo,32,0.973,0.406,13,19,63.3,2026-03-09 09:32,2026-03-09 09:32
elmundo,167,0.994,0.377,63,104,62.4,2026-03-09 09:32,2026-03-09 09:32
google_news_politica,58,0.957,0.379,22,36,61.0,2026-03-09 09:32,2026-03-09 09:32
europapress,63,0.98,0.333,21,42,59.2,2026-03-09 09:32,2026-03-09 09:32
elconfidencial,48,0.979,0.292,14,34,56.7,2026-03-09 09:32,2026-03-09 09:32
elpais_internacional,27,0.972,0.296,8,19,56.6,2026-03-09 09:32,2026-03-09 09:32
maldita,15,0.936,0.8,12,3,85.4,2026-03-09 10:07,2026-03-09 10:07
newtral,18,0.99,0.667,12,6,79.6,2026-03-09 10:07,2026-03-09 10:07
huffington_es,206,0.969,0.587,121,85,74.0,2026-03-09 10:07,2026-03-09 10:07
heraldo_aragon,698,0.984,0.552,385,313,72.5,2026-03-09 10:07,2026-03-09 10:07
okdiario,619,0.988,0.532,329,290,71.4,2026-03-09 10:07,2026-03-09 10:07
eldiario,250,0.993,0.484,121,129,68.8,2026-03-09 10:07,2026-03-09 10:07
levante_emv,498,0.994,0.482,240,258,68.7,2026-03-09 10:07,2026-03-09 10:07
google_news_es,675,0.992,0.484,327,348,68.7,2026-03-09 10:07,2026-03-09 10:07
20minutos,583,0.994,0.475,277,306,68.3,2026-03-09 10:07,2026-03-09 10:07
france24_es,158,0.977,0.481,76,82,67.9,2026-03-09 10:07,2026-03-09 10:07
elcorreo,472,0.996,0.439,207,265,66.2,2026-03-09 10:07,2026-03-09 10:07
elespanol,145,0.99,0.441,64,81,66.1,2026-03-09 10:07,2026-03-09 10:07
expansion,125,0.993,0.432,54,71,65.6,2026-03-09 10:07,2026-03-09 10:07
elmundo,168,0.994,0.417,70,98,64.8,2026-03-09 10:07,2026-03-09 10:07
elmundo_internacional,19,0.978,0.421,8,11,64.4,2026-03-09 10:07,2026-03-09 10:07
elpais,401,0.994,0.406,163,238,64.1,2026-03-09 10:07,2026-03-09 10:07
lavanguardia,626,0.994,0.404,253,373,64.0,2026-03-09 10:07,2026-03-09 10:07
elmundo_espana,34,0.989,0.382,13,21,62.5,2026-03-09 10:07,2026-03-09 10:07
infolibre,78,0.994,0.372,29,49,62.1,2026-03-09 10:07,2026-03-09 10:07
google_news_politica,56,0.956,0.375,21,35,60.7,2026-03-09 10:07,2026-03-09 10:07
elconfidencial,47,0.978,0.34,16,31,59.5,2026-03-09 10:07,2026-03-09 10:07
europapress,64,0.979,0.328,21,43,58.8,2026-03-09 10:07,2026-03-09 10:07
elpais_internacional,28,0.971,0.321,9,19,58.1,2026-03-09 10:07,2026-03-09 10:07
bbc_mundo,32,0.973,0.312,10,22,57.6,2026-03-09 10:07,2026-03-09 10:07
maldita,15,0.937,0.8,12,3,85.5,2026-03-09 10:32,2026-03-09 10:32
huffington_es,210,0.969,0.576,121,89,73.3,2026-03-09 10:32,2026-03-09 10:32
newtral,18,0.99,0.556,10,8,73.0,2026-03-09 10:32,2026-03-09 10:32
heraldo_aragon,694,0.984,0.553,384,310,72.5,2026-03-09 10:32,2026-03-09 10:32
okdiario,624,0.988,0.527,329,295,71.1,2026-03-09 10:32,2026-03-09 10:32
google_news_es,679,0.992,0.492,334,345,69.2,2026-03-09 10:32,2026-03-09 10:32
eldiario,250,0.993,0.484,121,129,68.8,2026-03-09 10:32,2026-03-09 10:32
20minutos,587,0.994,0.477,280,307,68.4,2026-03-09 10:32,2026-03-09 10:32
levante_emv,505,0.994,0.473,239,266,68.1,2026-03-09 10:32,2026-03-09 10:32
france24_es,159,0.977,0.484,77,82,68.1,2026-03-09 10:32,2026-03-09 10:32
elcorreo,474,0.996,0.447,212,262,66.7,2026-03-09 10:32,2026-03-09 10:32
expansion,126,0.993,0.429,54,72,65.5,2026-03-09 10:32,2026-03-09 10:32
elespanol,147,0.99,0.429,63,84,65.3,2026-03-09 10:32,2026-03-09 10:32
elmundo_internacional,19,0.979,0.421,8,11,64.4,2026-03-09 10:32,2026-03-09 10:32
lavanguardia,632,0.994,0.407,257,375,64.2,2026-03-09 10:32,2026-03-09 10:32
elpais,400,0.994,0.403,161,239,63.9,2026-03-09 10:32,2026-03-09 10:32
elmundo,168,0.994,0.393,66,102,63.3,2026-03-09 10:32,2026-03-09 10:32
infolibre,79,0.994,0.38,30,49,62.6,2026-03-09 10:32,2026-03-09 10:32
elmundo_espana,32,0.989,0.375,12,20,62.1,2026-03-09 10:32,2026-03-09 10:32
europapress,66,0.98,0.333,22,44,59.2,2026-03-09 10:32,2026-03-09 10:32
elconfidencial,47,0.979,0.319,15,32,58.3,2026-03-09 10:32,2026-03-09 10:32
elpais_internacional,28,0.971,0.321,9,19,58.1,2026-03-09 10:32,2026-03-09 10:32
google_news_politica,56,0.959,0.321,18,38,57.6,2026-03-09 10:32,2026-03-09 10:32
bbc_mundo,32,0.973,0.219,7,25,52.1,2026-03-09 10:32,2026-03-09 10:32
maldita,16,0.926,0.75,12,4,82.0,2026-03-09 11:02,2026-03-09 11:02
newtral,18,0.99,0.667,12,6,79.6,2026-03-09 11:02,2026-03-09 11:02
heraldo_aragon,694,0.984,0.543,377,317,71.9,2026-03-09 11:02,2026-03-09 11:02
huffington_es,212,0.969,0.542,115,97,71.3,2026-03-09 11:02,2026-03-09 11:02
okdiario,632,0.988,0.524,331,301,71.0,2026-03-09 11:02,2026-03-09 11:02
elmundo_internacional,19,0.978,0.526,10,9,70.7,2026-03-09 11:02,2026-03-09 11:02
france24_es,160,0.977,0.5,80,80,69.1,2026-03-09 11:02,2026-03-09 11:02
google_news_es,681,0.992,0.485,330,351,68.8,2026-03-09 11:02,2026-03-09 11:02
20minutos,604,0.994,0.48,290,314,68.6,2026-03-09 11:02,2026-03-09 11:02
eldiario,249,0.993,0.466,116,133,67.7,2026-03-09 11:02,2026-03-09 11:02
levante_emv,518,0.994,0.461,239,279,67.4,2026-03-09 11:02,2026-03-09 11:02
elcorreo,483,0.996,0.449,217,266,66.8,2026-03-09 11:02,2026-03-09 11:02
expansion,127,0.993,0.441,56,71,66.2,2026-03-09 11:02,2026-03-09 11:02
elespanol,152,0.99,0.428,65,87,65.3,2026-03-09 11:02,2026-03-09 11:02
lavanguardia,631,0.994,0.395,249,382,63.5,2026-03-09 11:02,2026-03-09 11:02
elpais,400,0.994,0.395,158,242,63.5,2026-03-09 11:02,2026-03-09 11:02
elmundo,168,0.994,0.393,66,102,63.3,2026-03-09 11:02,2026-03-09 11:02
elmundo_espana,32,0.988,0.375,12,20,62.0,2026-03-09 11:02,2026-03-09 11:02
infolibre,77,0.993,0.351,27,50,60.8,2026-03-09 11:02,2026-03-09 11:02
elconfidencial,48,0.979,0.354,17,31,60.4,2026-03-09 11:02,2026-03-09 11:02
europapress,68,0.981,0.338,23,45,59.5,2026-03-09 11:02,2026-03-09 11:02
elpais_internacional,28,0.969,0.321,9,19,58.0,2026-03-09 11:02,2026-03-09 11:02
google_news_politica,55,0.958,0.327,18,37,57.9,2026-03-09 11:02,2026-03-09 11:02
bbc_mundo,32,0.973,0.25,8,24,53.9,2026-03-09 11:02,2026-03-09 11:02
maldita,16,0.924,0.688,11,5,78.2,2026-03-09 11:32,2026-03-09 11:32
newtral,18,0.99,0.611,11,7,76.3,2026-03-09 11:32,2026-03-09 11:32
huffington_es,215,0.97,0.572,123,92,73.1,2026-03-09 11:32,2026-03-09 11:32
heraldo_aragon,692,0.984,0.539,373,319,71.7,2026-03-09 11:32,2026-03-09 11:32
okdiario,640,0.988,0.503,322,318,69.7,2026-03-09 11:32,2026-03-09 11:32
eldiario,250,0.993,0.484,121,129,68.8,2026-03-09 11:32,2026-03-09 11:32
google_news_es,686,0.992,0.485,333,353,68.8,2026-03-09 11:32,2026-03-09 11:32
france24_es,162,0.977,0.488,79,83,68.4,2026-03-09 11:32,2026-03-09 11:32
levante_emv,532,0.994,0.476,253,279,68.3,2026-03-09 11:32,2026-03-09 11:32
20minutos,615,0.994,0.465,286,329,67.7,2026-03-09 11:32,2026-03-09 11:32
elcorreo,490,0.996,0.463,227,263,67.6,2026-03-09 11:32,2026-03-09 11:32
expansion,126,0.992,0.421,53,73,64.9,2026-03-09 11:32,2026-03-09 11:32
elmundo_internacional,19,0.978,0.421,8,11,64.4,2026-03-09 11:32,2026-03-09 11:32
elespanol,150,0.99,0.407,61,89,64.0,2026-03-09 11:32,2026-03-09 11:32
elpais,398,0.994,0.399,159,239,63.7,2026-03-09 11:32,2026-03-09 11:32
lavanguardia,628,0.994,0.396,249,379,63.5,2026-03-09 11:32,2026-03-09 11:32
infolibre,78,0.993,0.385,30,48,62.8,2026-03-09 11:32,2026-03-09 11:32
elmundo,171,0.994,0.374,64,107,62.2,2026-03-09 11:32,2026-03-09 11:32
elconfidencial,49,0.98,0.347,17,32,60.0,2026-03-09 11:32,2026-03-09 11:32
europapress,70,0.981,0.329,23,47,59.0,2026-03-09 11:32,2026-03-09 11:32
elmundo_espana,31,0.988,0.323,10,21,58.9,2026-03-09 11:32,2026-03-09 11:32
elpais_internacional,28,0.972,0.321,9,19,58.1,2026-03-09 11:32,2026-03-09 11:32
google_news_politica,55,0.956,0.309,17,38,56.8,2026-03-09 11:32,2026-03-09 11:32
bbc_mundo,31,0.974,0.258,8,23,54.4,2026-03-09 11:32,2026-03-09 11:32
maldita,18,0.922,0.778,14,4,83.6,2026-03-09 12:02,2026-03-09 12:02
newtral,17,0.991,0.588,10,7,74.9,2026-03-09 12:02,2026-03-09 12:02
heraldo_aragon,691,0.984,0.556,384,307,72.7,2026-03-09 12:02,2026-03-09 12:02
huffington_es,214,0.97,0.556,119,95,72.2,2026-03-09 12:02,2026-03-09 12:02
okdiario,649,0.989,0.51,331,318,70.2,2026-03-09 12:02,2026-03-09 12:02
levante_emv,550,0.994,0.493,271,279,69.3,2026-03-09 12:02,2026-03-09 12:02
france24_es,162,0.977,0.494,80,82,68.7,2026-03-09 12:02,2026-03-09 12:02
eldiario,251,0.993,0.478,120,131,68.4,2026-03-09 12:02,2026-03-09 12:02
20minutos,629,0.994,0.464,292,337,67.6,2026-03-09 12:02,2026-03-09 12:02
google_news_es,688,0.992,0.459,316,372,67.2,2026-03-09 12:02,2026-03-09 12:02
elcorreo,496,0.996,0.45,223,273,66.8,2026-03-09 12:02,2026-03-09 12:02
expansion,126,0.993,0.429,54,72,65.5,2026-03-09 12:02,2026-03-09 12:02
elespanol,153,0.99,0.418,64,89,64.7,2026-03-09 12:02,2026-03-09 12:02
lavanguardia,630,0.993,0.398,251,379,63.6,2026-03-09 12:02,2026-03-09 12:02
elpais,396,0.994,0.389,154,242,63.1,2026-03-09 12:02,2026-03-09 12:02
elmundo,171,0.994,0.386,66,105,62.9,2026-03-09 12:02,2026-03-09 12:02
elmundo_espana,34,0.988,0.382,13,21,62.4,2026-03-09 12:02,2026-03-09 12:02
infolibre,79,0.993,0.367,29,50,61.7,2026-03-09 12:02,2026-03-09 12:02
elmundo_internacional,19,0.978,0.368,7,12,61.2,2026-03-09 12:02,2026-03-09 12:02
bbc_mundo,30,0.972,0.367,11,19,60.9,2026-03-09 12:02,2026-03-09 12:02
google_news_politica,55,0.955,0.345,19,36,58.9,2026-03-09 12:02,2026-03-09 12:02
europapress,71,0.982,0.324,23,48,58.7,2026-03-09 12:02,2026-03-09 12:02
elconfidencial,51,0.98,0.314,16,35,58.0,2026-03-09 12:02,2026-03-09 12:02
elpais_internacional,27,0.971,0.185,5,22,49.9,2026-03-09 12:02,2026-03-09 12:02
maldita,16,0.931,0.812,13,3,86.0,2026-03-09 12:32,2026-03-09 12:32
newtral,16,0.99,0.625,10,6,77.1,2026-03-09 12:32,2026-03-09 12:32
huffington_es,216,0.97,0.56,121,95,72.4,2026-03-09 12:32,2026-03-09 12:32
heraldo_aragon,696,0.983,0.54,376,320,71.7,2026-03-09 12:32,2026-03-09 12:32
okdiario,663,0.989,0.52,345,318,70.8,2026-03-09 12:32,2026-03-09 12:32
20minutos,636,0.994,0.484,308,328,68.8,2026-03-09 12:32,2026-03-09 12:32
eldiario,252,0.993,0.48,121,131,68.5,2026-03-09 12:32,2026-03-09 12:32
levante_emv,567,0.994,0.473,268,299,68.1,2026-03-09 12:32,2026-03-09 12:32
google_news_es,701,0.992,0.466,327,374,67.6,2026-03-09 12:32,2026-03-09 12:32
france24_es,163,0.977,0.472,77,86,67.4,2026-03-09 12:32,2026-03-09 12:32
elcorreo,496,0.996,0.433,215,281,65.8,2026-03-09 12:32,2026-03-09 12:32
expansion,130,0.993,0.415,54,76,64.6,2026-03-09 12:32,2026-03-09 12:32
elmundo_internacional,19,0.979,0.421,8,11,64.4,2026-03-09 12:32,2026-03-09 12:32
elmundo,172,0.994,0.407,70,102,64.2,2026-03-09 12:32,2026-03-09 12:32
elmundo_espana,32,0.987,0.406,13,19,63.8,2026-03-09 12:32,2026-03-09 12:32
lavanguardia,633,0.993,0.398,252,381,63.6,2026-03-09 12:32,2026-03-09 12:32
elespanol,156,0.991,0.397,62,94,63.5,2026-03-09 12:32,2026-03-09 12:32
google_news_politica,54,0.953,0.407,22,32,62.5,2026-03-09 12:32,2026-03-09 12:32
elpais,403,0.994,0.372,150,253,62.1,2026-03-09 12:32,2026-03-09 12:32
bbc_mundo,31,0.973,0.387,12,19,62.1,2026-03-09 12:32,2026-03-09 12:32
elconfidencial,53,0.98,0.34,18,35,59.6,2026-03-09 12:32,2026-03-09 12:32
infolibre,79,0.993,0.291,23,56,57.2,2026-03-09 12:32,2026-03-09 12:32
europapress,74,0.982,0.284,21,53,56.3,2026-03-09 12:32,2026-03-09 12:32
