window,representative,sources,n_sources,n_titles,avg_similarity,coord_score,all_titles,detected_at,cycle
2026-03-11 14:00:00,Los países de la AIE liberarán 400 millones de barriles de petróleo por la guerra de Irán y España aportará hasta un 2% de sus reservas,"20minutos, google_news_es, lavanguardia, okdiario",4,4,0.503,50,"La AIE libera 400 millones de barriles de petróleo de sus reservas y apenas cubrirá una semana de suministro | Países de la AIE liberan 400 millones de barriles de petróleo de sus reservas estratégicas - SWI swissinfo.ch | La AIE acuerda liberar 400 millones de barriles de petróleo de sus reservas, la mayor cifra de su historia | Los países de la AIE liberarán 400 millones de barriles de petróleo por la guerra de Irán y España aportará hasta un 2% de sus reservas",2026-03-12 03:02,2026-03-12 03:02
2026-03-11 18:00:00,Directo | Real Madrid - Manchester City,"elcorreo, elpais, levante_emv",3,3,0.64,48,"Real Madrid - Manchester City, en directo | Mendy, Pitarch y Brahim entran en el once del Madrid | Directo | Real Madrid - Manchester City | Champions League: Real Madrid - Manchester City, en directo",2026-03-12 03:32,2026-03-12 03:32
2026-03-11 18:00:00,Detenidos dos hermanos por la desaparición de Francisca Cadenas hace nueve años tras el hallazgo de restos óseos en su vivienda,"elpais, lavanguardia, levante_emv",3,6,0.58,43,Detenidos dos hermanos por la desaparición de Francisca Cadenas hace nueve años tras el hallazgo de restos óseos | Detenidos dos hermanos por la desaparición de Francisca Cadenas hace nueve años tras el hallazgo de restos óseos en su vivienda | Detenidos dos hermanos por la desaparición de Francisca Cadenas tras hallarse restos óseos “compatibles” | Detenidos dos hermanos por la desaparición de Francisca Cadenas tras hallarse restos óseos “compatibles” con la mujer | Detenidos los dos hermanos vecinos de Francisca Cadenas tras el hallazgo de restos óseos en su vivienda de Hornachos,2026-03-12 03:32,2026-03-12 03:32
2026-03-11 18:00:00,Detenidos dos hermanos por la desaparición de Francisca Cadenas al aparecer restos óseos,"elespanol, europapress, lavanguardia",3,4,0.504,37,Detenidos en Badajoz dos hermanos en cuya casa se han encontrado los restos óseos en la búsqueda de Francisca Cadenas | Detenidos dos hermanos por la desaparición de Francisca Cadenas tras hallarse restos óseos | Detenidos dos hermanos por la desaparición de Francisca Cadenas al aparecer restos óseos | Hallan restos óseos debajo de unas baldosas en el patio de la casa de dos hermanos en la búsqueda de Francisca Cadenas,2026-03-12 03:32,2026-03-12 03:32
2026-03-11 14:00:00,Juan Ayuso abandona la París-Niza tras sufrir una dura caída cuando marchaba líder,"20minutos, elcorreo, elpais",3,4,0.653,48,Ayuso abandona la París-Niza tras una dura caída: acaba retorciéndose de dolor y es trasladado al hospital | Juan Ayuso abandona la París-Niza cuando marchaba líder tras sufrir una dura caída | Juan Ayuso abandona la París-Niza tras sufrir una dura caída cuando marchaba líder | Juan Ayuso abandona la París-Niza tras sufrir una caída,2026-03-12 04:02,2026-03-12 04:02
2026-03-10 10:00:00,Von der Leyen afirma que Europa cometió un &quot;error estratégico&quot; al alejarse de la energía nuclear,"google_news_es, heraldo_aragon, huffington_es, levante_emv",4,5,0.64,63,"Von der Leyen dice ahora que fue &quot;error estratégico&quot; alejarse de la energía nuclear | Von der Leyen cree que Europa cometió un &quot;error estratégico&quot; al alejarse de la energía nuclear y anuncia un plan de mini reactores | Von der Leyen asegura que Europa cometió un ""error estratégico"" al alejarse de la energía nuclear - LaSexta | Von der Leyen considera que Europa cometió un ""error estratégico"" al alejarse de la energía nuclear | Von der Leyen afirma que Europa cometió un &quot;error estratégico&quot; al alejarse de la energía nuclear",2026-03-12 04:32,2026-03-12 04:32
2026-03-10 10:00:00,Mercadona aumenta sus beneficios en 2025 hasta los 1.729 millones de euros y logra unas ventas de 41.900 millones,"20minutos, europapress, lavanguardia, levante_emv, okdiario",5,5,0.452,56,"Mercadona aumenta sus beneficios en 2025 hasta los 1.729 millones de euros y logra unas ventas de 41.900 millones | Mercadona gana 1.729 millones de euros con una facturación que alcanza los 41.900 millones | Mercadona logra un nuevo récord de ventas, que se disparan un 8% hasta los 41.900 millones de euros | Mercadona obtiene unas ventas de 41.900 millones, un 8% más, con el negocio en Portugal disparado | Mercadona logra unos históricos 41.900 millones de euros de facturación en 2025",2026-03-12 04:32,2026-03-12 04:32
2026-03-11 08:00:00,"Sánchez anuncia 'Hodio', una herramienta para rastrear la huella de los discursos de odio en redes","europapress, heraldo_aragon, infolibre, okdiario",4,4,0.557,55,"Sánchez anuncia el lanzamiento de HODIO, para rastrear el odio en redes | Sánchez anuncia 'Hodio', una herramienta para rastrear la huella de los discursos de odio en redes | Sánchez anuncia la creación de una herramienta de «control del odio» en redes para justificar su censura | Sánchez anuncia la puesta en marcha de la herramienta 'Hodio' para medir el alcance de los discursos de odio en redes",2026-03-12 04:32,2026-03-12 04:32
2026-03-11 08:00:00,Von der Leyen recula y defiende ahora el “compromiso inquebrantable” de la UE con el derecho internacional,"elmundo, elpais, lavanguardia",3,6,0.622,46,"Von der Leyen recula y afirma ahora el “compromiso inquebrantable” de la UE con el derecho internacional | Von der Leyen recula y defiende ahora el “compromiso inquebrantable” de la UE con el derecho internacional | Von der Leyen recula ante las críticas y defiende ahora el “compromiso inquebrantable” de la UE con el derecho internacional | Von der Leyen intenta rebajar la crispación en el seno de la UE y se acerca al Gobierno: ""Compromiso inquebrantable con el derecho internacional"" | Von der Leyen subraya ahora el “compromiso inquebrantable” con el derecho internacional",2026-03-12 04:32,2026-03-12 04:32
2026-03-10 12:00:00,Santaolalla abandona 'En boca de todos' con un ataque de ansiedad tras las críticas de Antonio Naranjo e indignada con Nacho Abad,"20minutos, huffington_es, levante_emv",3,5,0.605,45,Santaolalla abandona 'En boca de todos' con un ataque de ansiedad ante las críticas de Antonio Naranjo | Santaolalla abandona 'En boca de todos' con un ataque de ansiedad ante las críticas | Santaolalla abandona 'En boca de todos' con un ataque de ansiedad tras las críticas de Antonio Naranjo e indignada con Nacho Abad | Sarah Santaolalla abandona el plató de &#039;En boca de todos&#039; tras una discusión con Antonio Naranjo | Sarah Santaolalla abandona ‘En boca de todos’ entre lágrimas tras un tenso enfrentamiento con Antonio Naranjo y acusar a Nacho Abad de cómplice,2026-03-12 04:32,2026-03-12 04:32
