keyword,count,last_update,cycle
carlos,47498,2026-03-27 04:01:00+00:00,2026-03-27 04:01
crisis,46846,2026-03-27 04:01:00+00:00,2026-03-27 04:01
irán,226684,2026-03-27 04:31:00+00:00,2026-03-27 04:31
guerra,210177,2026-03-27 04:31:00+00:00,2026-03-27 04:31
internacional,206525,2026-03-27 04:31:00+00:00,2026-03-27 04:31
trump,151938,2026-03-27 04:31:00+00:00,2026-03-27 04:31
sánchez,116303,2026-03-27 04:31:00+00:00,2026-03-27 04:31
guerra irán,96603,2026-03-27 04:31:00+00:00,2026-03-27 04:31
israel,81915,2026-03-27 04:31:00+00:00,2026-03-27 04:31
málaga,60813,2026-03-27 04:31:00+00:00,2026-03-27 04:31
anuncia,53987,2026-03-27 04:31:00+00:00,2026-03-27 04:31
petróleo,53153,2026-03-27 04:31:00+00:00,2026-03-27 04:31
ormuz,52817,2026-03-27 04:31:00+00:00,2026-03-27 04:31
muere,51019,2026-03-27 04:31:00+00:00,2026-03-27 04:31
santa,50821,2026-03-27 04:31:00+00:00,2026-03-27 04:31
plan,50479,2026-03-27 04:31:00+00:00,2026-03-27 04:31
diario,49434,2026-03-27 04:31:00+00:00,2026-03-27 04:31
aragón,49291,2026-03-27 04:31:00+00:00,2026-03-27 04:31
mundial,49277,2026-03-27 04:31:00+00:00,2026-03-27 04:31
carlos,47629,2026-03-27 04:31:00+00:00,2026-03-27 04:31
crisis,46777,2026-03-27 04:31:00+00:00,2026-03-27 04:31
irán,226994,2026-03-27 05:01:00+00:00,2026-03-27 05:01
guerra,211184,2026-03-27 05:01:00+00:00,2026-03-27 05:01
internacional,207020,2026-03-27 05:01:00+00:00,2026-03-27 05:01
trump,151493,2026-03-27 05:01:00+00:00,2026-03-27 05:01
sánchez,115896,2026-03-27 05:01:00+00:00,2026-03-27 05:01
guerra irán,96924,2026-03-27 05:01:00+00:00,2026-03-27 05:01
israel,81954,2026-03-27 05:01:00+00:00,2026-03-27 05:01
málaga,60895,2026-03-27 05:01:00+00:00,2026-03-27 05:01
anuncia,54272,2026-03-27 05:01:00+00:00,2026-03-27 05:01
petróleo,53190,2026-03-27 05:01:00+00:00,2026-03-27 05:01
ormuz,53068,2026-03-27 05:01:00+00:00,2026-03-27 05:01
muere,51019,2026-03-27 05:01:00+00:00,2026-03-27 05:01
santa,50736,2026-03-27 05:01:00+00:00,2026-03-27 05:01
plan,50160,2026-03-27 05:01:00+00:00,2026-03-27 05:01
mundial,49599,2026-03-27 05:01:00+00:00,2026-03-27 05:01
diario,49399,2026-03-27 05:01:00+00:00,2026-03-27 05:01
aragón,49316,2026-03-27 05:01:00+00:00,2026-03-27 05:01
carlos,47537,2026-03-27 05:01:00+00:00,2026-03-27 05:01
