source,title,date,link,hate_words,hate_score,detected_at
okdiario,Asesinan al futbolista Dominic Frimpong en un asalto al autobús de su equipo,2026-04-13 09:02:25+00:00,https://okdiario.com/deportes/asesinan-futbolista-dominic-frimpong-asalto-autobus-equipo-16591238,"asesinan, asalto",2.0,2026-04-27 00:04
google_news_politica,Miguel Ángel Rodríguez insulta y señala a los votantes del PSOE: “Son criminales a los que vota un tercio de españoles podrido” - ElPlural.com,2026-04-14 05:50:30+00:00,https://news.google.com/rss/articles/CBMi4AFBVV95cUxPcmFueHBqelJFQ2xHSUtfY1FCb3JYaF9qRzQzbEFvNkZQem9oT1k0dGt1TG5JRWxxSDdKNHNDSHFvNV9SV0RPQ0pRRmFNNDFDaGxwUno2SDY1NjVDR0VDbmlmVU11WEMyZU5CVDJ1RXktM2ZLSnl0NnpPekxSR2dWWkk5NlVDSkVldWxDRDdwOXAwZDBVTEhrbVlSZms4RVpKYnRqQ3UzNDA4LXVEZkZ0V3ZYVUhYMHdLYU1tV3JscTFiNWFleG13RktBeXY5OVRGc1pWX0xNVklmalRXdWpLctIB5gFBVV95cUxNSEw5MHR2QkRaRkJHb1ZLMFp2aUYxcnZVeDd0RUdBSnEyZGRXMVY2WHhaQTR6NkItSmtFTGZpbEFESVA2TWgxR0hxN2VZZVhxUUk3bzFXVExGbGNEaWpoaTNWcV83eG81UGpXS3E5aHdjTFdXbXU4QjhTeGFvMlppdFFDeDVkdkZ4V0tvYXREbm5LTWNhdmJVZ1h1ZW9fYjBTYW8tam81T0V1bFk2RWEtZjFzVm5LUmZnUTE1czh0TWpEbzlPd3VGbldHRFpvcl9fYm5rNkxaUnJnR3NFdVVFS2I4SURJUQ?oc=5,"insulta, criminales",2.0,2026-04-27 00:04
20minutos,Un preso de la cárcel de León incendia el colchón de su celda y agrede a al menos cuatro funcionarios,2026-04-15 13:11:15+00:00,https://www.20minutos.es/castilla-y-leon/leon/un-interno-carcel-leon-incendia-colchon-su-celda-agrede-cuatro-trabajadores_6958553_0.html,"incendia, agrede",2.0,2026-04-27 00:04
elmundo,Atacan la carpa de Vox en Barcelona por Sant Jordi y agreden a la diputada Júlia Calvet,2026-04-23 21:54:56+00:00,https://www.elmundo.es/cataluna/2026/04/23/69ea92d8e4d4d8332a8b45a0.html,"atacan, agreden",2.0,2026-04-27 00:04
sur,Amenazan de muerte a tres médicas y agreden a dos profesionales en ambulatorios de Málaga,2026-04-17 10:48:44+00:00,https://www.diariosur.es/sucesos/amenazan-muerte-tres-medicas-agreden-dos-profesionales-malaga-20260417124241-nt.html,"amenazan, agreden",2.0,2026-04-27 00:04
google_news_es,Estados Unidos ataca una lancha en el Caribe y mata a tres personas - EL PAÍS,2026-04-20 03:52:10+00:00,https://news.google.com/rss/articles/CBMirwFBVV95cUxOaVlLWjdxeFNUTXp5TEQ4ZGppYnhmOTRQUTltUk1NR1hoWUV4RjZIYUFhMlRDdnBhemsxYnRraVRiSnJ2TkZDQjV1R1BPS1ljbHQ4c1pQeWEzLVBvYnR0M2tDSmpjdmdSVUg2QjZCUkNaSV9LRmh4SWRUcWNUazdIelRZc2E0VnhqaEoyanRESDMtb3h6STFidVI1ek4xMnFxcm4tbk1tNnRkUmlNMHVr0gHDAUFVX3lxTE9Vcldzdmw2WVBjT01mVzRVMHM3aUJyUFgwWDZBVno0OTFCeGMzbGtLcmJkM3RRMTRUU01YR0lZNXZwSlhjTjB3cFdwcEdERnh1TjlNNWx0V29WMzV3WDBuUUc4dVZRMG1iSDVKMnlPYmNRSkJxLV9ER19HTDBMTFBEQjNNNUxWcU9NcTZ6OXF4OV90OTdJQktEOUE4NXpRd0V2bEdKb1pXbVRLWkdTR2NpMW5sOXVTSjhtQ1RLZGlpeHRRWQ?oc=5,"ataca, mata",2.0,2026-04-27 00:04
elpais,Estados Unidos ataca una lancha en el Caribe y mata a tres personas,2026-04-20 03:52:10+00:00,https://elpais.com/america/2026-04-20/estados-unidos-ataca-una-lancha-en-el-caribe-y-mata-a-tres-personas.html,"ataca, mata",2.0,2026-04-27 00:04
google_news_es,Un hombre mata a sus 7 hijos en Luisiana y dispara a 2 mujeres - Euronews.com,2026-04-20 05:40:00+00:00,https://news.google.com/rss/articles/CBMitAFBVV95cUxQWDRkUEs2empvbzZxcHMzTElhYkpaa2R2MkJaRl9PTGxhX1JlUzlrSG03dTZmdXhNWEV0TnZGVjhpXzlaV3dQNmNIMTdVZkhrMUwwNUd0cUNVd185RlpYUDVHWUpMZjNZVElUM3JOMVNRV0tsOWdHVjdLYV9OajNYNnZIcFZzekRMT0F5dzV4VzRPMG5qN3NZQnkwaUZWbWhPVzlRd0Rkd2djc0Z3SkJfeUw2Wm4?oc=5,"mata, dispara",2.0,2026-04-27 00:04
20minutos,Apuñalan a un mosso fuera de servicio que intentó detener una pelea,2026-04-20 09:13:30+00:00,https://www.20minutos.es/cataluna/tarragona/apunalan-un-mosso-fuera-servicio-intentar-detener-una-pelea-roquetes_6960238_0.html,"apuñalan, pelea",2.0,2026-04-27 00:04
okdiario,"Un hombre dispara contra los turistas en las pirámides de Teotihuacán, mata a una mujer y después se suicida",2026-04-20 19:27:04+00:00,https://okdiario.com/internacional/tiroteo-teotihuacan-mexico-deja-dos-muertos-varios-heridos-16642991,"dispara, mata",2.0,2026-04-27 00:04
okdiario,"‘La isla de las tentaciones’ revienta ‘Supervivientes’ con una trifulca inédita: «El insulto fácil, como Claudia folla en la tele»",2026-04-22 07:43:36+00:00,https://okdiario.com/cool/isla-tentaciones-revienta-supervivientes-trifulca-inedita-insulto-facil-como-claudia-folla-tele-16651764,"trifulca, insulto",2.0,2026-04-27 00:04
20minutos,"Ali Smith defiende en el pregón de Sant Jordi el libro frente a la guerra: ""Quien bombardea un país destruye sus bibliotecas""",2026-04-22 16:31:44+00:00,https://www.20minutos.es/cataluna/barcelona/ali-smith-vindica-pregon-sant-jordi-libro-frente-guerra-quien-bombardea-un-pais-se-asegura-destruir-sus-bibliotecas_6961429_0.html,"bombardea, destruye",2.0,2026-04-27 00:04
france24_es,"Un colono-soldado israelí dispara hacia una escuela y mata a Aws y Jihad, palestinos de Al-Mughayyir",2026-04-23 16:57:41+00:00,https://www.france24.com/es/video/20260423-un-colono-soldado-israel%C3%AD-dispara-hacia-una-escuela-y-mata-a-aws-y-jihad-palestinos-de-al-mughayyir,"dispara, mata",2.0,2026-04-27 00:04
lavanguardia,Un hombre mata a su pareja de 43 años y se suicida tras una pelea con su hijo,2026-04-23 17:08:38+00:00,https://www.lavanguardia.com/vida/20260423/11521256/hombre-mata-pareja-43-anos-suicida-pelea-hijo.html,"mata, pelea",2.0,2026-04-27 00:04
20minutos,"Los hutíes entran en la guerra de Oriente Medio: atacan Israel, amenazan con bloquear el mar Rojo y agravar la crisis energética",2026-03-28 18:22:34+00:00,https://www.20minutos.es/internacional/los-huties-entran-guerra-oriente-medio-atacan-israel-amenazan-con-bloquear-mar-rojo-agravar-crisis-energetica_6952070_0.html,"atacan, amenazan",2.0,2026-04-27 00:04
